,genres,genres_url
1,Action & Adventure,https://www.amazon.in/gp/bestsellers/books/1318158031
2,"Arts, Film & Photography",https://www.amazon.in/gp/bestsellers/books/1318052031
3,"Biographies, Diaries & True Accounts",https://www.amazon.in/gp/bestsellers/books/1318064031
4,Business & Economics,https://www.amazon.in/gp/bestsellers/books/1318068031
5,Children's & Young Adult,https://www.amazon.in/gp/bestsellers/books/1318073031
6,Comics & Mangas,https://www.amazon.in/gp/bestsellers/books/1318104031
7,"Computing, Internet & Digital Media",https://www.amazon.in/gp/bestsellers/books/1318105031
8,"Crafts, Home & Lifestyle",https://www.amazon.in/gp/bestsellers/books/1318118031
9,"Crime, Thriller & Mystery",https://www.amazon.in/gp/bestsellers/books/1318161031
10,"Fantasy, Horror & Science Fiction",https://www.amazon.in/gp/bestsellers/books/1402038031
11,"Health, Family & Personal Development",https://www.amazon.in/gp/bestsellers/books/1318128031
12,Historical Fiction,https://www.amazon.in/gp/bestsellers/books/1318164031
13,Humour,https://www.amazon.in/gp/bestsellers/books/1318143031
14,"Language, Linguistics & Writing",https://www.amazon.in/gp/bestsellers/books/1318144031
15,Literature & Fiction,https://www.amazon.in/gp/bestsellers/books/1318157031
16,Maps & Atlases,https://www.amazon.in/gp/bestsellers/books/1318298031
17,Politics,https://www.amazon.in/gp/bestsellers/books/1318176031
18,Reference,https://www.amazon.in/gp/bestsellers/books/1318185031
19,Religion,https://www.amazon.in/gp/bestsellers/books/1318188031
20,Romance,https://www.amazon.in/gp/bestsellers/books/1318168031
21,"Sciences, Technology & Medicine",https://www.amazon.in/gp/bestsellers/books/1318203031
22,Society & Social Sciences,https://www.amazon.in/gp/bestsellers/books/1318216031
23,Sports,https://www.amazon.in/gp/bestsellers/books/1318224031
24,Textbooks & Study Guides,https://www.amazon.in/gp/bestsellers/books/15417300031
25,Travel,https://www.amazon.in/gp/bestsellers/books/1318295031
