,Name,Author,Ratings (out of 5),Reviews,Edition,Price,Books_url
1,Atomic Habits: The life-changing million copy bestseller [Paperback] James Clear,James Clear,4.6,"73,374",Paperback,₹349.00,https://www.amazon.in//Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1
2,The Psychology of Money,Morgan Housel,4.6,"47,856",Paperback,₹210.00,https://www.amazon.in//Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1
3,NTA NEET (UG) BIOLOGY | RAKSHITA SINGH,RAKSHITA SINGH,None,"18,570",Paperback,₹383.00,https://www.amazon.in//NTA-NEET-BIOLOGY-RAKSHITA-SINGH/dp/8196277598/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1
4,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Sudha Murty,4.6,"46,833",Paperback,₹167.00,https://www.amazon.in//Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1
5,"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",Héctor García,4.6,"68,280",Hardcover,₹333.00,https://www.amazon.in//Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1
6,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5,"1,086",Board book,₹399.00,https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1
7,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.6,"3,051",Paperback,₹170.00,https://www.amazon.in//Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1
8,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.5,3,Paperback,₹80.00,https://www.amazon.in//Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1
9,CUET 2023 Commerce Domain Based on Class 12 NCERT Conducted BY NTA Including Solved Papers 2022 Including Free Online Mock Test (English Medium) (4146),Think Tank of Kiran Institute of Career Excellence & KICX,3.9,12,Unknown Binding,₹460.00,https://www.amazon.in//Commerce-Domain-Conducted-Including-English/dp/9357152415/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1
10,Azaad: An Autobiography,Ghulam Nabi Azad,4.1,108,Hardcover,₹597.00,https://www.amazon.in//Azaad-Autobiography-Ghulam-Nabi-Azad/dp/9355205716/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1
11,BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil Kr Gupta,4.5,11,Paperback,₹270.00,https://www.amazon.in//BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1
12,NTA CUET UG 2023 Section 3 General Test,Arihant Experts,4.1,"2,133",Paperback,₹140.00,https://www.amazon.in//CUET-2023-Section-General-Test/dp/9327196457/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1
13,R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5,"18,810",Paperback,₹616.00,https://www.amazon.in//Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1
14,Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not!: (25th Anniversary Edition),Robert T. Kiyosaki,4.6,"6,654",Mass Market Paperback,₹389.00,https://www.amazon.in//Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1
15,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,4.4,502,Paperback,₹193.00,https://www.amazon.in//First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1
16,Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years.,Lt Gen KJS 'Tiny' Dhillon,4.8,"72,604",Hardcover,₹376.00,https://www.amazon.in//Kitne-Ghazi-Aye-Gaye-Sacrifice/dp/0670097055/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1
17,The Power of Your Subconscious Mind,Joseph Murphy,4.5,289,Paperback,₹85.00,https://www.amazon.in//Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1
18,Educart Abhyaas 1-20 Final Bundle of NEET Mock Test Papers (for 7th May 2023 Exam),Seep Pahuja,4.0,"9,621",Paperback,₹737.00,https://www.amazon.in//Educart-Abhyaas-Final-Bundle-Papers/dp/9357031987/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1
19,Bhagvad Gita As It Is English New Edition,His Divine Grace A.C. Bhaktivedanta Swami Prabhupada,4.7,"9,825",Hardcover,₹259.00,https://www.amazon.in//Bhagvad-gita-as-english-new/dp/9384564192/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1
20,Concept of Physics by H.C Verma Part - II - Session 2022-23,H.C. Verma,4.6,"6,078",Paperback,₹341.00,https://www.amazon.in//Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1
